name,index,subindex
ferdinand,24,uranus_xxiv
perdita,25,uranus_xxv
mab,26,uranus_xxvi
cupid,27,uranus_xxvii
neptune,0,neptune_n
triton,1,neptune_i
nereid,2,neptune_ii
naiad,3,neptune_iii
thalassa,4,neptune_iv
despina,5,neptune_v
galatea,6,neptune_vi
larissa,7,neptune_vii
proteus,8,neptune_viii
halimede,9,neptune_ix
psamathe,10,neptune_x
sao,11,neptune_xi
laomedeia,12,neptune_xii
neso,13,neptune_xiii
s2004n1,-,neptune_
pluto,0,pluto_n
charon,1,pluto_i
nix,2,pluto_ii
hydra,3,pluto_iii
kerberos,4,pluto_iv
styx,5,pluto_v
orcus,0,orcus_n
vanth,1,orcus_i
haumea,0,haumea_n
hiiaka,1,haumea_i
namaka,2,haumea_ii
quaoar,0,quaoar_n
weywot,1,quaoar_i
makemake,0,makemake_n
mk2,1,makemake_i
gonggong,0,gonggong_n
xiangliu,1,gonggong_1
eris,0,eris_n
dysnomia,1,eris_i
sedna,0,sedna_n
ixion,0,ixion_n
salacia,0,salacia_n
actaea,1,salacia_i
varuna,0,varuna_n
